"PROJECT_ID","PROJECT_NAME","SUBPROJECT_ID","SUBPROJECT_NAME","RESPONSE_UID","QUESTIONNAIREEVENT_ID","QUESTION_NUMBER","QUESTION_TEXT","INDICATOR","MILESTONE_ID","MILESTONE_DESC","PROGRAMTYPE_ID","PROGRAM_NAME","PROGRAM_DESC","DESIGN_TEAM","DESIGNSTRATEGY_DESC","DISTRICT","DIVISION","RESPONSE","RESPONSEVALUE","RESPONSECLASS","RESPONSECLASS_DESC"
55,"Morganza to the Gulf, LA (Hurricane Protection)",50,"MTG02 WP 275431 - Minors Canal Floodgate P&S",830,183,23,"Was the Quality Management Plan (QMP)/Review Plan (RP) followed for this review milestone?","QA",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",50,"MTG02 WP 275431 - Minors Canal Floodgate P&S",830,183,23,"Was the Quality Management Plan (QMP)/Review Plan (RP) followed for this review milestone?","QC",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",50,"MTG02 WP 275431 - Minors Canal Floodgate P&S",837,183,32,"Did the deliverable meet established design milestone expectations?","QA",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
64,"Aircraft Maintenance Hangar",73,"PN 93099 Aircraft Maintenance Hangar",857,186,12,"At the current time, can the project be implemented without deviations from mandatory design criteria or receiving an approved waiver from HQUSACE?","Schedule",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","Yes",1,"Positive","Response Valued > 0.8"
64,"Aircraft Maintenance Hangar",73,"PN 93099 Aircraft Maintenance Hangar",857,186,12,"At the current time, can the project be implemented without deviations from mandatory design criteria or receiving an approved waiver from HQUSACE?","Cost",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","Yes",1,"Positive","Response Valued > 0.8"
64,"Aircraft Maintenance Hangar",73,"PN 93099 Aircraft Maintenance Hangar",857,186,12,"At the current time, can the project be implemented without deviations from mandatory design criteria or receiving an approved waiver from HQUSACE?","Scope",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","Yes",1,"Positive","Response Valued > 0.8"
64,"Aircraft Maintenance Hangar",73,"PN 93099 Aircraft Maintenance Hangar",863,186,19,"Does the project schedule include sufficient time to complete permitting process(es)?","Schedule",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",63,"MTG09 WP 403166 - Shell Canal Floodgate P&S",1359,247,18,"Does the project schedule include sufficient time to complete engineering investigations and surveys (e.g., cultural, geotechnical, environmental, hazardous materials, etc.) in time to adequately inform the design?","Schedule",1,"15% (Project Initiation)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",63,"MTG09 WP 403166 - Shell Canal Floodgate P&S",1345,247,5,"Are senior staff mentors assigned to all design team members with less than two years of professional design experience?","Team",1,"15% (Project Initiation)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
64,"Aircraft Maintenance Hangar",73,"PN 93099 Aircraft Maintenance Hangar",923,186,32,"Did the deliverable meet established design milestone expectations?","QA",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","No",0,"Negative","Response Valued < 0.50"
64,"Aircraft Maintenance Hangar",73,"PN 93099 Aircraft Maintenance Hangar",925,186,31,"Does the design adequately accomplish the project scope, intent, and functional and technical objectives as defined in the current Project Management Plan (PMP)?","Scope",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","Marginal",0.5,"Marginal","Response Valued greater than or equal to 0.50 and < 0.80"
64,"Aircraft Maintenance Hangar",73,"PN 93099 Aircraft Maintenance Hangar",926,186,33,"Is the design maturity sufficient to generate the required Class of estimate for this milestone? (Class 3 at 35%, Class 2 at 65%, and Class 1 at 95%/100%)","Cost",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",63,"MTG09 WP 403166 - Shell Canal Floodgate P&S",1353,247,12,"At the current time, can the project be implemented without deviations from mandatory design criteria or receiving an approved waiver from HQUSACE?","Schedule",1,"15% (Project Initiation)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,"Morganza to the Gulf, LA (Hurricane Protection)",63,"MTG09 WP 403166 - Shell Canal Floodgate P&S",1353,247,12,"At the current time, can the project be implemented without deviations from mandatory design criteria or receiving an approved waiver from HQUSACE?","Cost",1,"15% (Project Initiation)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
