"PROJECT_ID","SUBPROJECT_ID","RESPONSE_UID","QUESTIONNAIREEVENT_ID","QUESTION_NUMBER","QUESTION_TEXT","QUESTION_SHORT","INDICATOR","MILESTONE_ID","MILESTONE_DESC","PROGRAMTYPE_ID","PROGRAM_NAME","PROGRAM_DESC","DESIGN_TEAM","DESIGNSTRATEGY_DESC","DISTRICT","DIVISION","RESPONSE","RESPONSEVALUE","RESPONSECLASS","RESPONSECLASS_DESC"
55,50,830,183,23,"Was the Quality Management Plan (QMP)/Review Plan (RP) followed for this review milestone?","QMP/RP IMPLEMENTATION","QA",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,50,830,183,23,"Was the Quality Management Plan (QMP)/Review Plan (RP) followed for this review milestone?","QMP/RP IMPLEMENTATION","QC",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
55,50,837,183,32,"Did the deliverable meet established design milestone expectations?","DESIGN MILESTONE EXPECTATIONS","QA",2,"35% (Concept Design)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
64,73,857,186,12,"At the current time, can the project be implemented without deviations from mandatory design criteria or receiving an approved waiver from HQUSACE?","DESIGN DEVIATIONS","Schedule",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","Yes",1,"Positive","Response Valued > 0.8"
64,73,857,186,12,"At the current time, can the project be implemented without deviations from mandatory design criteria or receiving an approved waiver from HQUSACE?","DESIGN DEVIATIONS","Cost",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","Yes",1,"Positive","Response Valued > 0.8"
64,73,857,186,12,"At the current time, can the project be implemented without deviations from mandatory design criteria or receiving an approved waiver from HQUSACE?","DESIGN DEVIATIONS","Scope",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","Yes",1,"Positive","Response Valued > 0.8"
64,73,863,186,19,"Does the project schedule include sufficient time to complete permitting process(es)?","PERMITTING","Schedule",4,"95% (Final Design)","1","MILCON","Military Construction","In-House","Design-Bid-Build","SAW","SAD","Yes",1,"Positive","Response Valued > 0.8"
71,77,865,187,1,"Is there an Engineering Technical Lead (TL) assigned to the project with an active professional registration (e.g., P.E., R.A., P.L.A., P.G., etc.) or waiver from the Chief of the District's Engineering Function?","ENGINEERING TECHNICAL LEADS","Team",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
71,77,866,187,2,"Does the design team have all the necessary members (i.e., technical disciplines) assigned given the project scope?","DESIGN TEAM MEMBERS","Team",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
71,77,867,187,3,"Do the QA/QC review teams have all the necessary members (i.e., technical disciplines) assigned given the project scope?","REVIEW TEAM MEMBERS","Team",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
71,77,867,187,3,"Do the QA/QC review teams have all the necessary members (i.e., technical disciplines) assigned given the project scope?","REVIEW TEAM MEMBERS","QA",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
71,77,867,187,3,"Do the QA/QC review teams have all the necessary members (i.e., technical disciplines) assigned given the project scope?","REVIEW TEAM MEMBERS","QC",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
55,63,1359,247,18,"Does the project schedule include sufficient time to complete engineering investigations and surveys (e.g., cultural, geotechnical, environmental, hazardous materials, etc.) in time to adequately inform the design?","ENGINEERING INVESTIGATIONS","Schedule",1,"15% (Project Initiation)","2","CW","Civil Works","AE","Design-Bid-Build","MVN","MVD","Yes",1,"Positive","Response Valued > 0.8"
71,77,869,187,6,"Do the design and review team members have capacity to actively support  the project?","GOVERNMENT CAPACITY","Team",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
71,77,870,187,7,"Have the relevant Mandatory Centers of Expertise (MCX), Technical Centers of Expertise (TCX), and/or Centers of Standardization (COS) been identified and engaged on the project?","CENTERS OF EXPERTISE AND STANDARDIZATION","Team",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
71,77,871,187,8,"Have the relevant permitting authorities been identified and engaged on the project?","PERMITTING AUTHORITIES","Team",4,"95% (Final Design)","1","MILCON","Military Construction","AE","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
