"PROJECT_ID","PROJECT_NAME","SUBPROJECT_ID","SUBPROJECT_NAME","RESPONSE_UID","QUESTIONNAIREEVENT_ID","QUESTION_NUMBER","INDICATOR","MILESTONE_ID","MILESTONE_DESC","PROGRAMTYPE_ID","PROGRAM_NAME","PROGRAM_DESC","DESIGN_TEAM","DESIGNSTRATEGY_DESC","DISTRICT","DIVISION","RESPONSE","RESPONSEVALUE","RESPONSECLASS","RESPONSECLASS_DESC"
18,"FTW475 Front Gate Covers -",22,"- (IHDBB)",415,81,38,"Confidence",5,"100% (Corrected Final Design)","1","MILCON","Military Construction","
In-House","Design-Bid-Build","POA","POD","High",1,"Positive","Response Valued > 0.8"
18,"FTW475 Front Gate Covers -",22,"- (IHDBB)",404,81,2,"Team",5,"100% (Corrected Final Design)","1","MILCON","Military Construction","
In-House","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
18,"FTW475 Front Gate Covers -",22,"- (IHDBB)",418,81,33,"Cost",5,"100% (Corrected Final Design)","1","MILCON","Military Construction","
In-House","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
18,"FTW475 Front Gate Covers -",22,"- (IHDBB)",412,81,34,"QA",5,"100% (Corrected Final Design)","1","MILCON","Military Construction","
In-House","Design-Bid-Build","POA","POD","No",0,"Negative","Response Valued < 0.50"
18,"FTW475 Front Gate Covers -",22,"- (IHDBB)",420,81,31,"Scope",5,"100% (Corrected Final Design)","1","MILCON","Military Construction","
In-House","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
18,"FTW475 Front Gate Covers -",22,"- (IHDBB)",419,81,32,"QA",5,"100% (Corrected Final Design)","1","MILCON","Military Construction","
In-House","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
18,"FTW475 Front Gate Covers -",22,"- (IHDBB)",427,81,29,"QA",5,"100% (Corrected Final Design)","1","MILCON","Military Construction","
In-House","Design-Bid-Build","POA","POD","No",0,"Negative","Response Valued < 0.50"
18,"FTW475 Front Gate Covers -",22,"- (IHDBB)",421,81,30,"QA",5,"100% (Corrected Final Design)","1","MILCON","Military Construction","
In-House","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
18,"FTW475 Front Gate Covers -",22,"- (IHDBB)",421,81,30,"QC",5,"100% (Corrected Final Design)","1","MILCON","Military Construction","
In-House","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
18,"FTW475 Front Gate Covers -",22,"- (IHDBB)",426,81,26,"QC",5,"100% (Corrected Final Design)","1","MILCON","Military Construction","
In-House","Design-Bid-Build","POA","POD","Yes",1,"Positive","Response Valued > 0.8"
